Client Started

Logged in as: mrhellomeo

Chat id: -1002186513225

46607/46607 bytes (100.00%) (utils.py:progress_callback:224)

Response elastic: {'_index': 'telegram_index', '_id': '8730a6ce-2656-47bf-b951-93534ea16633', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 68, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '16132c8a-01f4-49a3-988e-42a4f635efd9', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 69, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'df413ac4-dfba-4fea-89e2-558d93f742bd', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 70, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '06d0f78e-3dc0-412d-af00-43ab8e627f7b', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 71, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '73b5e519-93df-4a8c-8352-4524d97ee822', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 72, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'f531d580-3117-4e72-b11d-b445fdc43b52', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 73, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'b614c5e4-fb9c-4e02-846d-a6dba7de8aca', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 74, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'f96220cb-0efc-4251-b5d2-b88c5b91aa85', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 75, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '73eb3326-9b12-490c-8471-f1a6c8985dc5', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 76, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '623bb6ae-86ba-4880-825a-e3cbb5c3e991', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 77, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '4655c532-addb-49dc-94b3-818dbb1b77de', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 78, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '74121015-764e-4a97-a53f-17dc543f1c75', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 79, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '1d57d859-5479-4bc8-89dd-224084031251', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 80, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '77be91d3-b0a4-4ac1-83ae-a8d6a49d6aa5', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 81, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '43729166-3aa0-40b4-b0d8-0865235a774b', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 82, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '2acab061-7353-402d-8707-9a09f0b6860a', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 83, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'fe1b1dc0-af6d-40b8-80ec-c92515509139', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 84, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '08b9eb15-2143-41be-a6ee-eff80e962a8b', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 85, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'f1ca3de7-6b93-4c86-a306-e0f809bca74c', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 86, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'c8fbcd92-29d3-4ec7-b88d-11702cf1f407', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 87, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '2d77bc48-4375-4973-9905-66e33123fac1', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 88, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'b549d466-9a68-407d-a2ec-9dd577a1eef1', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 89, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'd7ab8792-a3e2-4401-a1a8-6b311324fbcd', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 90, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '4414fa5d-c3fd-4f9b-ba7d-3df9e4dd9d60', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 91, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'b9ea9b18-9b46-4938-a2ea-e84e56a3983e', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 92, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '97b2d5f1-4b19-4891-b31c-e69543ca7ad0', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 93, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'ec37d9b5-2166-429c-a27f-2802c233eb2d', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 94, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '23465828-2192-40f2-bd83-ef97fd7bc496', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 95, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'd9b965fc-558c-4492-ac59-b3300c854573', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 96, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '05de468f-0539-4d9f-9fc8-e4adb9e2dd46', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 97, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '0f486f86-7abb-4b2c-bb3f-dda58484c644', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 98, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '18f21d29-ee4b-4f12-a67a-962605e895bf', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 99, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'fdd5c874-82ed-4211-a703-5625cc358476', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 100, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '1a8fab0a-5662-4de7-958c-3f7aec8ac28e', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 101, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'd98d2bee-f221-4866-bbbf-aaa55b9b7e92', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 102, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '7db6c3a1-d8f0-4e82-badf-4cb39518e505', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 103, '_primary_term': 1} (utils.py:upload_data:268)

